Name,Latitude,Longitude
Minikey Airport,43,-85
Evans Airways Airport,43,-79
River Bend Airport,33,-84
Pratt Mining Heliport,38,-80
Harrison County Airport,40,-81
Orangeville / Brundle Field,44,-80
Chute-Des-Passes/Lac Margane Seaplane Base,50,-71
San Juan Del César Airport,11,-73
Astoria Heliport,41,-74
Heitman Field,40,-84
Cayo Coco Airport,23,-79
Cmmc Air Ambulance Landing Site Heliport,44,-70
Lac à la Perchaude Airport,47,-73
Upernavik Kujalleq Heliport,72,-56
Patten Industries Heliport,42,-88
Tichitt Airport,18,-10
Downen Heliport,38,-88
Fuller Heliport,43,-84
Swinton Smith Field at Reidsville Municipal Airpor,32,-82
Glenndale Airport,40,-86
Anthonson Airport,43,-76
Stier Airstrip,45,-84
Seminole Lake Gliderport,28,-82
Owen Roberts International Airport,19,-81
Bomar Field Shelbyville Municipal Airport,36,-86
Bordner Airport,41,-84
Dave Rice Ultralightport,41,-84
L R M C Emergency Helistop,29,-82
Farm Strip,40,-86
Kentucky Dam State Park Airport,37,-88
Stratford Municipal Airport,43,-81
Effingham County Hospital Heliport,32,-81
Krill Personal Use Airport,40,-76
Unzicker Airport,41,-89
Middle Georgia Airport,33,-84
Herr Brothers Airport,41,-75
San Salvador Airport,24,-75
Boisvert & Fils Seaplane Base,46,-74
Hollands International Field,43,-79
El Capitán Airport,10,-73
Iron County Airport,46,-88
University Park Airport,41,-78
Robinestte Seaplane Base,28,-81
Rubelsanto Airport,16,-90
Levert Heliport,30,-89
Paradise River Airport,53,-57
Bayflite One Heliport,28,-83
Di Stefano Airpark,43,-75
Baptist Memorial Hospital-North Ms Heliport,34,-90
Potomac Airfield,39,-77
St. Stephen Airport,45,-67
Old Plains Airport,40,-75
The Children's Hospital Heliport,34,-87
Moncton / Salisbury Heliport,46,-65
Schaller Airport,41,-84
Turnpike Nr 1 Heliport,40,-77
Wandervogel Gliderport,43,-74
Hacienda Rio Cuarto Airport,11,-84
Parma Community Hospital Heliport,41,-82
Balloonport of Greensboro Balloonport,36,-80
Petawawa Airport,46,-77
Taylor Flight Park Ultralightport,41,-79
Erkes Airport,41,-75
Provincetown Municipal Airport,42,-70
Big Trout Lake Airport,54,-90
Svínafell Airport,64,-15
Langille Lake Seaplane Base,44,-64
Hitz Airport,41,-81
George M Bryan Airport,33,-89
Westchester Resco Heliport,41,-74
County Poor Farm Airport,42,-89
Katherine Shaw Bethea Hospital Heliport,42,-89
Flying H Farms Airport,38,-88
Raether Airport,43,-84
Worley Field,37,-80
Karmy's Airport,39,-79
John Scharff Airport,40,-89
Shelburne Airport,44,-73
Rothrock Airport,41,-89
Funfsinn Airport,41,-89
Sarnoff Princeton Heliport,40,-75
Eagles Landing Airport,36,-79
Green Landings Airport,40,-78
Northampton Accomack Memorial Hospital Heliport,37,-76
Evansville Regional Airport,38,-88
Dave Libby Heliport,44,-70
Warren General Hospital Heliport,42,-79
Hearst/Carey Lake Seaplane Base,50,-84
Kepes Flying Field,40,-84
Álftaver Airport,64,-18
Sts Mary and Elizabeth Medical Center Heliport,42,-88
Valley Point Airport,40,-80
Crooked Lake Seaplane Base,42,-85
Blue Jay Heliport,40,-75
Gordon Brown Heliport,43,-71
Boutilimit Airport,18,-15
Windy Ridge Airport,37,-79
Baird-Wolford Airport,40,-86
Jenkins Field,40,-84
Twin Cities Hospital Heliport,31,-86
Milton Airport,34,-87
Taunton Municipal King Field,42,-71
Puerto Lempira Airport,15,-84
Baldwin Airport,44,-79
Berz-Macomb Airport,43,-83
Care Flight Heliport,28,-82
Leach Farms Heliport,43,-88
Sangrelaya Airport,16,-85
Root Hog Airport,33,-90
Lytleville Orchard Airport,40,-89
Langlade County Airport,45,-89
Phil Cain Memorial Field,40,-80
Quiet Valley Heliport,42,-90
Jay Hospital Heliport,31,-87
Swope Farm Airport,38,-82
James Carl Memorial Heliport,42,-75
Puff Airpark,32,-90
Chautauqua County-Dunkirk Airport,42,-79
Acadian Seaplane Base,44,-68
Hidden River Airport,39,-79
Grandlienard-Hogg Airport,41,-85
Sneek Airport,42,-90
Fox Fire Airport,37,-79
Arnemann Farms Airport,37,-87
B & L Farms Airport,26,-80
Hardin Memorial Hospital Heliport,38,-86
Jersey Shore Airport,41,-77
Miller Field,39,-79
Doaktown Airport,47,-66
Ha-Rail Airport,43,-89
Cherrystone Airport,37,-76
Associated Enterprises Heliport,42,-81
Sentara Obici Hospital Heliport,37,-77
Mazzuca Heliport,41,-76
Altamira Airport,12,-86
Hull Airport,41,-83
Segars Heliport,35,-88
Sell Field,40,-84
Bunch's Half Acre Airport,44,-86
St Joseph Hospital Heliport,39,-90
Danville Regional Airport,37,-79
Fort Washington Medical Center Heliport,39,-77
Emery Airport,35,-82
Cumberland Air Park RLA Restricted Landing Area,39,-88
Omniflight Helicopters Heliport,43,-89
Jose  Heliport,10,-65
Roseland Rescue Squad Heliport,38,-79
Sharretts Airport,42,-77
Corkern Airport,31,-90
Matinicus Island Airport,44,-69
Landing At River'S Edge,36,-84
Parry Sound/Derbyshire Island Seaplane Base,45,-80
Stanton Airport,40,-90
Marshall Field,40,-86
Twin City Airpark,37,-90
Huber Airport,46,-88
Lakeview Airport,43,-76
Akron Airport,43,-78
Reader-Botsford Airport,41,-82
Lewis Landing Airport,41,-75
Bender's Airport,45,-90
Tampa International Airport,28,-83
Barnhart Airport,41,-79
Gold Eagle Helicopters Inc Heliport,28,-82
Broadway Airfield,36,-81
Rex Ranch Airport,44,-89
Guy Vander Jagt Airfield,44,-86
Stephenville Airport,49,-59
Hato El Carito Airport,10,-68
Grove City Airport,41,-80
Brantford Municipal Airport,43,-80
Clarion Heliport,39,-90
Highland-Winet Airport,39,-90
Boondocks Heliport,36,-84
Roosevelt Memorial Airport,33,-85
La State Police Troop B Helipad Heliport,30,-90
Mazza Airport,37,-77
Wolford's Airport,41,-90
Parent Airport,48,-75
Wild Rose Idlewild Airport,44,-89
Ehrhardt Airport,33,-81
Grandpas' Farm Mendota Airport,42,-89
Steel Pier Taj Mahal Heliport,39,-74
Meridia Huron Hospital Heliport,42,-82
San Antonio De Falcon Airport,11,-68
Cigna Heliport,42,-73
Havana Regional Airport,40,-90
Palos Community Hospital Heliport,42,-88
Bonham Airport,34,-87
Madeira Airport,33,-17
Ruth Field,39,-80
Gustin's /Private/ Airport,41,-85
Central Illinois Regional Airport at Bloomington-N,40,-89
St. Ann's Heliport,40,-83
Bradford Armory Heliport,44,-72
Methodist Healthcare Heliport,36,-89
Martin Memorial Hospital Heliport,27,-80
Vaiden Landing Airport,35,-90
Hurlbut Field,45,-75
Sunset Strip,41,-81
Hummel Airport,40,-84
Hobby Hideaway RLA,40,-89
Lincoln Regional Airport,45,-69
Westford Regency Heliport,43,-71
Hollister Field,39,-84
Creech Aviation Facility Airport,34,-80
Smyrna Airport,36,-87
Huffman Farm Airport,42,-84
Rentschler Heliport,42,-73
Benjamin Rivera Noriega Airport,18,-65
Tgp Heliport,37,-85
Harrison Farm Airport,39,-77
Columbus Regional Hospital Heliport,39,-86
Ranch-Aero Airport,42,-78
Sport Aircraft Flight Park Ultralightport,40,-87
Vodden Airport,42,-89
Hapworths Private Landing Area Airport,45,-70
Flying M Ranch Airport,41,-80
Ronald Reagan Washington National Airport,39,-77
Dee's Strip,32,-90
Kelly Heliport,40,-75
Hartselle-Morgan County Regional Airport,34,-87
Corning Painted Post Airport,42,-77
Mchv Heliport,44,-73
Garnair Airport,31,-86
Maplewood Orchard Airport,39,-84
Used Parts Heliport,41,-75
Ocean City Municipal Airport,39,-75
First Precinct Police Heliport,39,-90
Elbel Airport,39,-84
Sky Bryce Airport,39,-79
Atc Heliport,27,-80
N Broward Medical Center Heliport,26,-80
W. H. Bramble Airport,17,-62
Miller Field,42,-76
Gorham Airport,44,-71
Au Heliport,41,-83
Missler-Bellevue Airport,41,-83
Colonel Hill Airport,23,-74
Newport Armory Heliport,45,-72
Hillsdale Municipal Airport,42,-85
Tye River Airport,38,-79
Medical Heliport,37,-77
Pigeon Airport,42,-85
Clarke County Airport,32,-89
Williamson Airport,39,-89
Stanley Memorial Hospital Heliport,35,-80
Southerland Strip,29,-81
Sauers-Haven Airport,41,-77
Central Agramonte Airport,22,-78
Elliott Field,34,-84
Weatherbee Field,43,-89
Merck Whitehouse Station Heliport,41,-75
Warren-Sugarbush Airport,44,-73
Chipola Airpark,31,-85
Butz Heliport,41,-76
Taylor Airport,45,-72
Goat Island Heliport,41,-71
Page Memorial Hospital Heliport,39,-78
Foxden Farms,44,-79
North Raleigh Airport,36,-78
Hawks Ridge Heliport,34,-84
Ropkey Field,40,-86
Royal Trails Airport,29,-81
Bonner Field,30,-88
Hi-Acres Airport,28,-82
Lac Etchemin Airport,46,-71
Air Logistics (Belle Chasse) Heliport,30,-90
Bruce McPhail Memorial Airport,46,-77
Chiefs Hut Heliport,43,-72
Unicorn Place Airport,31,-86
O'Riley Airport,43,-75
Las Islas Airport,11,-84
Baldwin Municipal Airport,44,-86
Downsview Airport,44,-79
Twin Mountain Airport,44,-72
Bristol Hospital Heliport,42,-73
Macon Municipal Airport,33,-89
Marion County Rankin Fite Airport,34,-88
Triple F Airpark,35,-79
Ellis Fly-In Airport,39,-87
Granitehill Lake Seaplane Base,49,-85
Bonebender Airport,44,-73
Buddys Ag Service Airport,30,-83
Converse Airport,41,-86
Lancaster Airport,40,-76
Macana Airport,10,-72
Josephs Field,39,-85
Wellsburg Seaplane Base,40,-81
Sliker Strip,41,-75
Wellsboro Johnston Airport,42,-77
Cookeville General Heliport,36,-86
Fricke Airport,40,-84
Falls Pond Seaplane Base,42,-71
Lake Buena Vista STOLport,28,-82
Robert Packer Hospital Heliport,42,-77
Ayres-Aicp Airport,39,-78
Tallassee Plantation Airport,32,-84
Chimney View Airport,38,-77
Abbaye Airport,17,-14
Tarboro-Edgecombe County Heliport,36,-78
St-Jovite Airport,46,-75
Davis Field,35,-90
Crowhurst Heliport,43,-71
State Emergency Heliport,42,-73
Wausau Downtown Airport,45,-90
Carilion New River Valley Medical Center Heliport,37,-81
Sanders Ranch Airport,30,-82
Manju Heliport,43,-86
Hartman Farms Field,41,-86
Three J Airport,40,-77
St Thomas Municipal Airport,43,-81
Gwinnett Medical Center Heliport,34,-84
Bostrup's Landing Seaplane Base,43,-74
Alligator Drink Seaplane Base,29,-81
Cuatros Vientos Airport,41,-76
Harold Emmerich Airport,39,-90
Mountain View Heliport,42,-72
Marlboro Airport,40,-74
Crawford Hendrix Farm Airport,32,-82
Salisbury Ocean City Wicomico Regional Airport,38,-76
POURVOIRIE MIRAGE AERODROME,54,-73
Blackacre Farm Airport,42,-81
Collier/Pine Barren Airpark,31,-87
Gordon Airport,41,-85
Ashland Landing Farm Airport,39,-76
Rose Number 2 Heliport,42,-88
Wolf River Ranch Airport,31,-89
Museum of Science Heliport,42,-71
Alan's Airport,34,-81
Lib Field,30,-82
Cincinnati Blue Ash Airport,39,-84
La Flor Airport,11,-86
Riverside Airport,34,-85
Green Acres Airport,42,-73
La Guinea Airport,10,-85
Homan Airport,41,-78
Long Island Mac Arthur Airport,41,-73
Coye Field,43,-78
Piac Heliport,40,-75
Cape Canaveral AFS Skid Strip,28,-81
Lesterson Field,46,-87
Smith Restricted Landing Area,39,-90
Union Hospital Heliport,41,-81
Mc Ardle Airport,41,-84
Inishmaan Aerodrome,53,-10
Albert Airport,41,-78
Weller Airport,43,-86
Delhotal Airport,42,-89
Klockner Airport,34,-84
Southern Oaks Airport,34,-83
Dawson Field,34,-85
Frank Field,38,-79
Toy Box Airport,36,-86
Sprague Nr 1 Heliport,43,-73
Ockel Farms Airport,39,-75
Hunter Army Air Field,32,-81
Windsor Armory Heliport,43,-72
Cloverleaf Ranch Airport,41,-90
Ramsy Farm Airport,46,-87
Ray Community Airport,43,-83
Nessmuk Heliport,42,-77
Kellachows Airport,42,-75
Kunda Airport,40,-75
Kirila Heliport,41,-81
Aultman Hospital Heliport,41,-81
Hawks Meadow Airport,35,-81
Transylvania County Airport,35,-83
Alexander County Airport,36,-81
Shelby Memorial Hospital Heliport,39,-89
Dechant Farms Airport,41,-82
New Jersey Bell Cdc 11 Heliport,40,-74
Bartlett Ranch Airport,32,-86
Boca Grande Helistop,27,-82
Managua Airport,23,-82
Funk Aerodrome,45,-88
St Thomas Hospital Heliport,36,-87
Rose Nr 3 Heliport,42,-88
Whifferdill Airport,36,-87
Emory University Hospital Heliport,34,-84
Santa Cruz Airport,10,-86
Campo Alegre Airport,11,-73
Summerside (Prince County Hospital) Heliport,46,-64
Chapin Field,43,-73
Samuels Field,38,-85
Sharp Airport,40,-89
Ficklin-Airtech Airport,41,-89
Theodore Francis Green State Airport,42,-71
Rossneck Airport,39,-76
Gallup Farm Airport,42,-72
Gran Canaria Airport,28,-15
Melin Farms Airport,43,-89
Chumuckla 20-20 Airport,31,-87
Gibbons Field,38,-86
South Pond Seaplane Base,42,-73
Washington County Hospital Heliport,39,-86
Hinde Airport,41,-83
Lorden Ii Heliport,43,-72
Qeqertaq Heliport,70,-51
Grundy Municipal Airport,37,-82
Bayport Aerodrome,41,-73
Weyman Airpark,46,-67
Jims Airport,40,-84
Sable Island Landing Strip,44,-60
Mary Immaculate Hospital Heliport,41,-74
Juancho Enriquillo Airport,18,-71
Wilson's Airport,36,-81
Delta County Airport,46,-87
Valley Asphalt Heliport,39,-84
Strip Airport,40,-87
Vanderbilt University Medical Center Heliport,36,-87
Trenton / Mountain View Airport,44,-77
Wakulla County Airport,30,-84
Hospital of Univ. of Pa Heliport,40,-75
Risker Field,40,-80
Nain Airstrip,18,-78
Twin Towers Airport,37,-78
Farpoint Airfield,40,-84
East Hampton Airport,41,-72
Jiles Field,37,-77
Raven's Run Airport,33,-80
J P's Field,43,-86
Mack Bayor Airheart Heliport,30,-86
Joliet Regional Airport,42,-88
Mc Coy Airport,41,-80
Danville Life Saving Crew Heliport,37,-79
La Macaza / Mont-Tremblant International Inc Airpo,46,-75
Arthur Airport,40,-86
Ridgway Flying Service Airport,39,-87
Williston Memorial Hospital Heliport,29,-82
Johnston Field,43,-84
Thacker Airport,41,-89
La Mona Airport,10,-68
Wayne Delp Airport,42,-74
Quaker Valley Farm Heliport,42,-74
Tims Angus Farm Airport,44,-76
Starke Memorial Hospital Heliport,41,-87
Saint Luke's Hospital Heliport,35,-82
Zokaites Heliport,41,-80
Bradford Airport,44,-80
Odot District 03 Heliport,41,-82
Stewart Field,39,-86
Capure  Heliport,10,-62
Bryan W. Whitfield Memorial Hospital Heliport,33,-88
Logan County Airport,38,-82
Elkhart Municipal Airport,42,-86
Ransome STOLport,40,-75
El Cubo Airport,14,-87
Coco Point Lodge Airstrip,18,-62
Haymeadow Airport,45,-89
Lynch's Landing Airport,40,-76
Miami International Airport,26,-80
Pendleton Memorial Methodist Hospital Heliport,30,-90
Stauss Hospital - Galena Heliport,42,-90
Miminiska Seaplane Base,52,-89
Quad-City Seaplane Base,41,-90
Bradford Camps Seaplane Base,46,-69
Jennie Stuart Medical Center Heliport,37,-87
Childrens Medical Center Heliport,40,-84
La Yolanda Airport,10,-85
Marshall County Hospital Heliport,37,-88
B. M. H. Heliport,38,-86
Vista Surgery Center Heliport,42,-88
Poste Lemoyne (Complex Lg-3) Heliport,53,-75
Flying W Airport,37,-77
Tinaquillo A Airport,10,-70
Macon County Airport,35,-83
Shannon Field,37,-87
Jocon Airport,15,-87
Mc Kenzie Regional Hospital Heliport,36,-88
Manitowish Waters Airport,46,-90
White's Airstrip,44,-77
Rouyn Noranda Airport,48,-79
Kirkwood Airpark,42,-76
Parque Central  Heliport,11,-67
Adams Airport,35,-79
Mac Kinnis Airport,38,-76
Sandusky City Airport,43,-83
Dolhun Field,46,-90
Lakes of the North Airport,45,-85
Marion County Brown Field,35,-86
Stevensville Airstrip,43,-79
Maury County Airport,36,-87
Edward Hospital Heliport,42,-88
Webber Jones Airport,45,-69
Craven Regional Medical Center Heliport,35,-77
Lac Sébastien Seaplane Base,49,-71
Laconia Municipal Airport,44,-71
Dda Heliport,37,-83
Thomaston Upson County Airport,33,-84
Belleville Airport,44,-77
Waycross Ware County Airport,31,-82
Coastal Helicopters Inc Heliport,30,-86
Ginny 'B' Heliport,36,-87
Valley Airport,45,-63
Hagerstown Airport,40,-85
Grand Falls-Windsor Heliport,49,-56
Skyhaven Airport,42,-76
Malcolm Mc Kinnon Airport,31,-81
London (Victoria Hospital) Heliport,43,-81
J & S Field,38,-88
A P Hill Aaf (Fort A P Hill) Airport,38,-77
Civista Medical Center Heliport,39,-77
Dane Airport,43,-89
Branas Airport,23,-83
Allegheny Mining Heliport,39,-79
Île d'Orléans (Heliport),47,-71
Slip Knot Landing Airport,44,-70
Florida Hospital-Flagler Heliport,29,-81
Mar Bar L Farms Airport,40,-74
Butler Farm Show Airport,41,-80
London (University Hospital) Heliport,43,-81
Alum Ridge STOLport,37,-80
Ds Butler Farm and Airfield,36,-80
Qaarsut Airport,71,-53
Tazewell County Airport,37,-82
Devils Garden Strip,28,-81
Moyer Heliport,41,-76
Aero Plantation Airport,35,-81
Offutt Acres Airport,41,-80
Davy Jones /Private/ Airport,38,-89
Austin Field,36,-85
Hato Rancho Alegre Airport,10,-68
Moore's Field,35,-82
Qikiqtarjuaq Airport,68,-64
La Matua Airport,10,-73
Door County Cherryland Airport,45,-87
San Bernardo Airport,13,-87
O K Dies Airport,41,-81
Della Heliport,42,-73
Runway Leasing Inc Nr 1 Airport,44,-90
Womstead Field,38,-83
Clinton-Hickman County Airport,37,-89
Pillow Hill Airport,42,-88
Los Llanos Airport,14,-88
Willis Airport,42,-89
Massengill Airport,40,-82
Tri-County Heliport,41,-76
Ottawa / Carp Airport,45,-76
Bir Moghrein Airport,25,-12
Warminster Hospital Heliport,40,-75
Burlington International Airport,44,-73
Mores Island Airport,26,-78
Murcielago Airport,11,-86
William Irving Lewis Airport,35,-79
Inhome Medical Landing Heliport,29,-82
Franklin County Regional Airport,40,-78
Middleton Field,31,-87
Bray Island Airport,69,-77
Evergreen Mtn. Heliport,42,-74
Buzzard's Roost Airport,38,-85
Coastal Systems Station Heliport,30,-86
Pq-Lafayette Hill Heliport,40,-75
Jtv Heliport,42,-81
Grayrock Ridge Heliport,42,-71
Suburban General Hospital Heliport,40,-75
Hackbarth Airport,41,-86
St Bernard Field,43,-77
Community Memorial Hospital Heliport,43,-88
Ticaban Airport,10,-84
Bowlin Airport,41,-85
Moyer Airport,40,-75
Middle Bass-East Point Airport,42,-83
NBC 6 (WTVJ) Heliport,26,-80
Lynchburg Regional Preston Glenn Field,37,-79
Sudbury Airport,42,-71
Mclean Brothers Airport,36,-80
Suny Health Science Center Heliport,43,-76
Heitman Aerdrome Airport,38,-90
Our Lady of Lourdes Hospital Heliport,40,-75
Parker Heliport,42,-72
Arthur North Airport,44,-81
Susquehanna Heliport,42,-76
Bassett Field,43,-79
Mathna Airport,40,-77
Walton County Hospital Heliport,34,-84
Hampton Airport,38,-77
Matagami Seaplane Base,50,-78
Firmenich Incorporated Heliport,40,-75
Hepler Airport,38,-88
Zackenberg,74,-21
Florida Keys Memorial Hospital Heliport,25,-82
John F Kennedy International Airport,41,-74
West Palm Beach Police Station Heliport,27,-80
Estelí Airport,13,-86
McMinn County Airport,35,-85
Christiansted Harbor Seaplane Base,18,-65
La Estanzuela Airport,15,-89
New York Skyports Inc Seaplane Base,41,-74
Hamilton Municipal Airport,43,-76
Forest Hill Airport,43,-85
Metroplex Heliport,39,-77
Medical Center East Heliport,34,-87
Osceola Municipal Airport,36,-90
Tennessee Gas Heliport,38,-83
Strathroy (Blue Yonder) Airport,43,-82
Zoomer Field,41,-88
Mistissini Seaplane Base,50,-74
Orillia (Ontario Provincial Police) Heliport,45,-79
Warrenton Air Park,39,-78
Choloma Airport,15,-88
Mc Gowin Field,32,-87
Parsons Airport,41,-81
Athens Ben Epps Airport,34,-83
Stefanik Airport,40,-75
Shepherd's Landing Airport,44,-82
Eupora Airport,34,-89
Webequie Airport,53,-87
Manila Municipal Airport,36,-90
Baptist Hospital Heliport,36,-87
Ohio County Airport,37,-87
Joshua Sanford Field,44,-90
Adirondack Helicopters Heliport,44,-75
West Township Airport,43,-74
Latham Creek Heliport,34,-84
Miller's Field,45,-69
Eagle Crest-Hudson Airport,39,-75
George F. L. Charles Airport,14,-61
David's Airport,42,-85
U S Heliport,35,-80
Northern Illinois Medical Cntr Heliport,42,-88
Mundron Field,42,-84
Redington-Fairview General Hospital Heliport,45,-70
Mary's Landing Airport,42,-89
Magdalena Cuya Airport,19,-69
Rio Sucio Highway Airstrip,14,-89
Gunnarsholt Airport,64,-20
Lawrence General Hospital Heliport,43,-71
Mohawk Valley Airport,43,-74
Paniola Air Ranch Airport,29,-82
Hueston Woods Lodge Heliport,40,-85
Waterloo Airport,43,-80
Roxbury Runway Airport,42,-75
Mussman Airport,41,-88
Bass Heliport,42,-81
Sikorsky Bridgeport Heliport,41,-73
Pitt Greenville Airport,36,-77
Virgin Gorda Airport,18,-64
Waste Management Inc Heliport,42,-88
Sealscott Airport,41,-85
Tasiusaq (Kujalleq) Heliport,60,-45
El Caribe Airport,22,-83
Ed-Air Airport,39,-87
Mobley-Wood Heliport,36,-88
Aurora Sheboygan Memorial Medical Center Heliport,44,-88
Homestead ARB Airport,25,-80
Teconnet Seaplane Base,44,-70
United Samaritans Medical Center Heliport,40,-88
Monroe County Airport,40,-81
Hartford Municipal Airport,43,-88
Kaman Aerospace Corp Heliport,42,-73
Arrowhead Point Airport,38,-77
Fort George Airport,54,-79
Willis Airport,34,-86
Ramme Airport,42,-89
Gessie Airport,40,-88
St George Island Airport,30,-85
Galloway Airport,41,-83
Holly Springs Farm Airport,38,-77
Berns Airport,41,-88
Peterson Field,43,-89
Prickett-Grooms Field,47,-89
Coban Airport,15,-90
Hidden Hills Airport,39,-76
Squires Aviation Ranch Airport,31,-83
Lorneville Airstrip,44,-79
Temagami/Mine Landing Seaplane Base,47,-80
C.C. Hospital Heliport,41,-78
Charlottetown (Queen Elizabeth Hospital) Heliport,46,-63
Elk Lake Airport,48,-80
DuBois Regional Airport,41,-79
Adams Private Airport,38,-89
Smith Reynolds Airport,36,-80
Tottenham/Ronan Aerodrome,44,-80
Vermilion Township Heliport,41,-82
Dutch Country Egg Farms Airport,40,-76
Grand Valley (Madill Field),44,-80
Spruce Creek Airport,29,-81
V.C. Bird International Airport,17,-62
Bokeelia Helistop,27,-82
South Capitol Street Heliport,39,-77
Tinsley Airstrip,40,-77
The Barn Heliport,43,-72
Bullfly Ultralightport,41,-76
Hamilton Lake Seaplane Base,42,-85
Ely Air Park,43,-78
Red Lion Airport,40,-75
Alexander Field South Wood County Airport,44,-90
Shultz /Private/ Airport,41,-87
St John's Mercy Medical Center Heliport,39,-90
Ensco IV Heliport,10,-71
Hvolsvöllur Airport,64,-20
Dodge Airport,43,-83
Washington County Hospital Heliport,38,-89
210 Investors Heliport,34,-78
Pse & G Trenton Distribution Helistop,40,-75
Kitchener-Waterloo (Grand River Hospital) Heliport,43,-81
Aero Four Airport,41,-88
Var-Sky Airport,40,-75
Franklin Heliport,41,-76
Curless Airport,40,-90
Wadsworth-Rittman Hospital Heliport,41,-82
Sacred Heart Hospital Heliport,30,-87
Windswept Airport,43,-72
Community Methodist Hospital Heliport,38,-88
Holy Spirit Hospital Helipad,40,-77
Limon Airport,16,-85
Cochran Airport,32,-83
Saufley Field Nolf Airport,30,-87
General Dewitt Spain Airport,35,-90
Mary Rutan Heliport,40,-84
Port-de-Paix Airport,20,-73
Back Achers Airport,29,-82
Baldwin County Airport,33,-83
Fargo Airport,31,-83
Shultz Airport,36,-87
Waunakee Airport,43,-89
Kester Fly Inn Airport,39,-87
Foley Airport,41,-89
Deer Run Airpark,38,-85
Caio Voisan Airport,20,-77
Parknavy STOLport,40,-83
Mc Neil Airport,34,-81
Hella Airport,64,-20
Clearwater Airport,47,-67
Raby Airpark,36,-84
Punta de Palma  Heliport,10,-72
Puerto Heliport,18,-66
Libby Camps Seaplane Base,46,-69
Eglin Air Force Base,30,-87
De Kalb County Airport,41,-85
Rock Sound Airport,25,-76
La America Airport,16,-88
Treasure Cay Airport,27,-77
Creamer Heliport,41,-74
Haffner Airport,40,-87
Weston Street Heliport,43,-71
Heliflite Heliport,42,-84
Cincinnati Municipal Airport Lunken Field,39,-84
Amos Magny Airport,49,-78
Centro Miranda  Heliport,11,-72
Schiffer Acres Airport,43,-84
Sept-Îles/Lac Des Rapides Seaplane Base,50,-66
Buckner Airport,30,-83
Durbin Airport,40,-89
Arrowpoint Airport,38,-78
Darrah Air Park,30,-83
Gentry Airport,42,-90
Channel 10/Wbns-Tv Heliport,40,-83
Woody Field Airport,37,-80
Lakeside Airport,38,-90
Aurora Medical Center Heliport,44,-88
Hay Field,34,-83
Strickland/Smalley Field,36,-88
Memorial Hospital At Jasper Heliport,38,-87
Pearson's Farm Airport,35,-82
Sunshine Farms Airport,30,-81
Eureka Airport,80,-86
Paradise Landing Seaplane Base,29,-81
Rivipere Ouelle Airport,47,-70
Hemmingsen Airport,42,-89
Montmagny Airport,47,-71
Kenly Airport,36,-78
Thunder Bay (Health Science Centre) Heliport,48,-89
Blairsville,40,-79
Helifarm Heliport,42,-84
Conemaugh Valley Memorial Hospital Heliport,40,-79
Indiana County/Jimmy Stewart Fld/ Airport,41,-79
Redhouse Airfield,37,-79
Simcoe Airport,43,-80
The Landing Airport,40,-75
Hostetler Airport,41,-78
Tennessee Gas Nr 2 Heliport,43,-79
St Louis Downtown Heliport,39,-90
NG Tuckerton Armory Helistop,40,-74
Val D'or (St. Pierre) Heliport,48,-78
Flying O Airport,34,-80
Manitoulin East Municipal Airport,46,-82
Bridgewater Air Park,38,-79
Dickirson Heliport,39,-82
Stevens Farms Airport,40,-86
Ko-Kee Airport,29,-82
Newark Liberty International Airport,41,-74
Linscott Heliport,34,-83
Goodall Hospital Heliport,43,-71
El Cerrito Airport,10,-86
St Elizabeth Medical Center South Heliport,39,-85
Rutledge Falls Heliport,35,-86
Jérémie Airport,19,-74
Sanford Regional Airport,43,-71
Graham Landing Strip - Moore Haven Airport,27,-81
Mc Kinney Airport,43,-78
Philadelphia Market Street Heliport,40,-75
El Playón Airport,13,-89
Downtown Providence Helistop,42,-71
Circle Bar Ranch Airport,31,-90
Hill Landing Strip,30,-83
Wauchula Municipal Airport,28,-82
Virginia Beach Airport,37,-76
Tampa North Aero Park Airport,28,-82
La Irlanda Airport,10,-74
Mecosta Morton Airport,44,-85
Burk Personal Use Airport,40,-86
Clyde River Airport,70,-69
Memorial Hosp Of Carbondale Heliport,38,-89
Florida  Heliport,10,-67
Hughes Ultralightport,42,-77
Puvirnituq Airport,60,-77
Flying J Airport,41,-87
La Cueva Airport,11,-86
Miller-Herrold Airport,45,-86
Baybank Heliport,42,-71
Hopkins Farms Airport,38,-87
Wells Flying Service Airport,31,-87
Florida Hospital Lake Placid Heliport,27,-81
Aurora Memorial Hospital of Burlington Heliport,43,-88
Pueblo Nuevo  Heliport,10,-64
Ervin Airfield,36,-81
Cottonwood Airport,40,-89
Bay Pines Veterans Administration Heliport,28,-83
Ben's Landing Ultralightport,40,-77
St Georges Airport,46,-71
Mountain View Airport,43,-73
Jaks Field,45,-90
Medical Center Heliport,40,-83
Railway Stop Heliport,42,-84
Cedar Creek Air Ranch Airport,31,-89
Hilton Head Airport,32,-81
Moraine Air Park,40,-84
Chemical Bank - New Jersey Na Heliport,40,-75
Nueva Ocotepeque Airport,14,-89
Fisher's Field,30,-90
Toutant Airport,42,-72
Michael J. Smith Field,35,-77
Southern Natural Gas Company Heliport,30,-90
Dickson Municipal Airport,36,-87
Apala Airport,14,-86
Dairy Mart Farms Inc Heliport,42,-73
Captain Auguste George Airport,19,-64
